FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CBBTCUSD,"Coinbase Bitcoin, U.S. Dollars, Daily, Not Seasonally Adjusted"
,
"Frequency: Daily, 7-Day",
observation_date,CBBTCUSD
20/1/20,8633.67
21/1/20,8730
22/1/20,8665
23/1/20,8386.63
24/1/20,8424.96
25/1/20,8304.04
26/1/20,8632.92
27/1/20,8903.24
28/1/20,9417.64
29/1/20,9270
30/1/20,9493.61
31/1/20,9343.28
1/2/20,9375.06
2/2/20,9314.06
3/2/20,9282.29
4/2/20,9158.57
5/2/20,9623.44
6/2/20,9765.96
7/2/20,9804.98
8/2/20,9911.13
9/2/20,10174.81
10/2/20,9854.5
11/2/20,10279.99
12/2/20,10344.01
13/2/20,10239.57
14/2/20,10380
15/2/20,9901.34
16/2/20,9915.04
17/2/20,9711.95
18/2/20,10191.51
19/2/20,9591.54
20/2/20,9610.05
21/2/20,9697.01
22/2/20,9668.26
23/2/20,9964.16
24/2/20,9668.08
25/2/20,9301.01
26/2/20,8776.01
27/2/20,8816.71
28/2/20,8713.16
29/2/20,8552.08
1/3/20,8490.3
2/3/20,8923.52
3/3/20,8769.67
4/3/20,8765
5/3/20,9053.56
6/3/20,9162.98
7/3/20,8885.68
8/3/20,8068
9/3/20,7945.03
10/3/20,7887.01
11/3/20,7957.02
12/3/20,4980
13/3/20,5592.77
14/3/20,5182.62
15/3/20,5327.12
16/3/20,5074.2
17/3/20,5361.77
18/3/20,5426.71
19/3/20,6219.99
20/3/20,6215.4
21/3/20,6168.72
22/3/20,5791.69
23/3/20,6583.38
24/3/20,6742.21
25/3/20,6752.83
26/3/20,6772.2
27/3/20,6320.46
28/3/20,6269.81
29/3/20,5897.55
30/3/20,6401.26
31/3/20,6434.73
1/4/20,6719.39
2/4/20,6789.84
3/4/20,6727.99
4/4/20,6896.6
5/4/20,6779.75
6/4/20,7320.07
7/4/20,7204.58
8/4/20,7343.65
9/4/20,7294.69
10/4/20,6892.54
11/4/20,6891.43
12/4/20,6860.97
13/4/20,6871
14/4/20,6865.72
15/4/20,6576.76
16/4/20,7123.29
17/4/20,7055.22
18/4/20,7271.53
19/4/20,7125.31
20/4/20,6832.57
21/4/20,6845
22/4/20,7143.99
23/4/20,7479.06
24/4/20,7514.64
25/4/20,7535.69
26/4/20,7765.79
27/4/20,7773
28/4/20,7774.39
29/4/20,8789.1
30/4/20,8652.3
1/5/20,8813.9
2/5/20,8992
3/5/20,8917.63
4/5/20,8900.29
5/5/20,9037.69
6/5/20,9132.24
7/5/20,10007.56
8/5/20,9790.23
9/5/20,9554.91
10/5/20,8773.89
11/5/20,8557.37
12/5/20,8809.14
13/5/20,9335.84
14/5/20,9815.22
15/5/20,9331.18
16/5/20,9353.26
17/5/20,9700.33
18/5/20,9733.21
19/5/20,9783.91
20/5/20,9497.76
21/5/20,9039.12
22/5/20,9173.23
23/5/20,9166.02
24/5/20,8673.64
25/5/20,8892.39
26/5/20,8836.77
27/5/20,9200
28/5/20,9593.72
29/5/20,9426.87
30/5/20,9684.6
31/5/20,9435.8
1/6/20,10212.38
2/6/20,9509.35
3/6/20,9672.67
4/6/20,9799.57
5/6/20,9568.95
6/6/20,9665.36
7/6/20,9764
8/6/20,9833.94
9/6/20,9778.6
10/6/20,9899.18
11/6/20,9258.7
12/6/20,9466.77
13/6/20,9477.17
14/6/20,9315.71
15/6/20,9437.23
16/6/20,9534.8
17/6/20,9460.53
18/6/20,9368.15
19/6/20,9285.54
20/6/20,9361.81
21/6/20,9279.68
22/6/20,9700.91
23/6/20,9623.74
24/6/20,9284.1
25/6/20,9232.84
26/6/20,9157.22
27/6/20,9001.24
28/6/20,9122.56
29/6/20,9191.05
30/6/20,9129.47
1/7/20,9239.09
2/7/20,9088.54
3/7/20,9050.05
4/7/20,9138.22
5/7/20,9088.52
6/7/20,9331.69
7/7/20,9263.56
8/7/20,9436.01
9/7/20,9230.48
10/7/20,9298.16
11/7/20,9235
12/7/20,9313.77
13/7/20,9230.14
14/7/20,9258.34
15/7/20,9194.51
16/7/20,9130.91
17/7/20,9147.65
18/7/20,9174.6
19/7/20,9221.71
20/7/20,9161.13
21/7/20,9396.65
22/7/20,9546.31
23/7/20,9612.05
24/7/20,9553.41
25/7/20,9709.02
26/7/20,9944.58
27/7/20,11108.44
28/7/20,10952.85
29/7/20,11100.39
30/7/20,11139.67
31/7/20,11372.76
1/8/20,11805.82
2/8/20,11050.03
3/8/20,11235.44
4/8/20,11198.04
5/8/20,11737.59
6/8/20,11766.62
7/8/20,11598.96
8/8/20,11780.14
9/8/20,11692.76
10/8/20,11896.19
11/8/20,11387.01
12/8/20,11563.16
13/8/20,11824.99
14/8/20,11785.29
15/8/20,11854.27
16/8/20,11924
17/8/20,12325.1
18/8/20,11983.52
19/8/20,11764.8
20/8/20,11856.24
21/8/20,11526.32
22/8/20,11675.78
23/8/20,11650.03
24/8/20,11762.34
25/8/20,11324.86
26/8/20,11460.01
27/8/20,11341.73
28/8/20,11540
29/8/20,11468.56
30/8/20,11724.99
31/8/20,11665.93
1/9/20,11911.74
2/9/20,11390.12
3/9/20,10225.82
4/9/20,#N/A
5/9/20,10152.97
6/9/20,10255.2
7/9/20,10389.85
8/9/20,10123.21
9/9/20,10235
10/9/20,10345.95
11/9/20,10399.99
12/9/20,10444.01
13/9/20,10336.28
14/9/20,10679.33
15/9/20,10789.8
16/9/20,10953.38
17/9/20,10947.83
18/9/20,10942.2
19/9/20,11075.33
20/9/20,10911.59
21/9/20,10425.85
22/9/20,10529.01
23/9/20,10230.11
24/9/20,10741
25/9/20,10693.3
26/9/20,10730.23
27/9/20,10792.18
28/9/20,10681.01
29/9/20,10845.9
30/9/20,10783.24
1/10/20,10598.64
2/10/20,10577.92
3/10/20,10545.21
4/10/20,10662.36
5/10/20,10800
6/10/20,10594.15
7/10/20,10671.23
8/10/20,10926.71
9/10/20,11059.3
10/10/20,11303.56
11/10/20,11370.45
12/10/20,11534.83
13/10/20,11434.36
14/10/20,11426.87
15/10/20,11509.25
16/10/20,11329.33
17/10/20,11365.96
18/10/20,11516.56
19/10/20,11765.09
20/10/20,11917.34
21/10/20,12836.37
22/10/20,12977.02
23/10/20,12943.03
24/10/20,13120.87
25/10/20,13050.32
26/10/20,13072.95
27/10/20,13698.18
28/10/20,13280
29/10/20,13460
30/10/20,13582.97
31/10/20,13745.02
1/11/20,13784.52
2/11/20,13573.93
3/11/20,14050.59
4/11/20,14160
5/11/20,15636.6
6/11/20,15596.33
7/11/20,14814.62
8/11/20,15487.88
9/11/20,15334.37
10/11/20,15325.25
11/11/20,15723.81
12/11/20,16319.72
13/11/20,16339.59
14/11/20,16093.3
15/11/20,15946.64
16/11/20,16714.58
17/11/20,17660.9
18/11/20,17802.82
19/11/20,17804.44
20/11/20,18702.87
21/11/20,18710.14
22/11/20,18477.48
23/11/20,18391.21
24/11/20,19185.07
25/11/20,18706.15
26/11/20,17173
27/11/20,17156.99
28/11/20,17718.3
29/11/20,18238.52
30/11/20,19727
1/12/20,18763.35
2/12/20,19245.61
3/12/20,19430.07
4/12/20,18692.32
5/12/20,19156.82
6/12/20,19397.08
7/12/20,19202.88
8/12/20,18311.76
9/12/20,18550.01
10/12/20,18286.8
11/12/20,18048.14
12/12/20,18826.36
13/12/20,19133.04
14/12/20,19288.43
15/12/20,19451.34
16/12/20,21384.63
17/12/20,22830.34
18/12/20,23169.26
19/12/20,23814.91
20/12/20,23451.68
21/12/20,22777.26
22/12/20,23839.99
23/12/20,23196.57
24/12/20,23740.01
25/12/20,24736.42
26/12/20,26519.1
27/12/20,26320.06
28/12/20,27044.14
29/12/20,27407.85
30/12/20,28934.56
31/12/20,29026.97
1/1/21,29391.09
2/1/21,32244.73
3/1/21,33134.1
4/1/21,32127.31
5/1/21,34131.23
6/1/21,36979.81
7/1/21,39573.39
8/1/21,40666.72
9/1/21,40346.3
10/1/21,38242.02
11/1/21,35474.31
12/1/21,33968.43
13/1/21,37520.66
14/1/21,39171.12
15/1/21,36868.39
16/1/21,35869.47
17/1/21,35931.15
18/1/21,36765.97
19/1/21,35673.03
20/1/21,35570.44
21/1/21,30647.26
22/1/21,32885.51
23/1/21,32021.33
24/1/21,32250.01
25/1/21,31979
26/1/21,32579.82
27/1/21,30552.06
28/1/21,33484.8
29/1/21,34330.14
30/1/21,34229.25
31/1/21,33076.09
1/2/21,33457.6
2/2/21,35511.07
3/2/21,37769.41
4/2/21,37070.87
5/2/21,38376.86
6/2/21,38995.52
7/2/21,38888.74
8/2/21,46674.44
9/2/21,46595.44
10/2/21,44887.29
11/2/21,48121
12/2/21,47524.18
13/2/21,47274.23
14/2/21,48703.26
15/2/21,47911.87
16/2/21,49257.23
17/2/21,52269.84
18/2/21,51644.16
19/2/21,56029.51
20/2/21,55960.05
21/2/21,57538.47
22/2/21,54130.33
23/2/21,48972.11
24/2/21,49789.99
25/2/21,46927.73
26/2/21,46360.17
27/2/21,45973.56
28/2/21,45352.29
1/3/21,49652.19
2/3/21,48368.22
3/3/21,50164.67
4/3/21,48327.39
5/3/21,48908.09
6/3/21,48986.85
7/3/21,50858.34
8/3/21,52472.59
9/3/21,54999.99
10/3/21,56046.27
11/3/21,57911.02
12/3/21,57174.89
13/3/21,61130.22
14/3/21,59192.98
15/3/21,55430.19
16/3/21,57126.52
17/3/21,59221.23
18/3/21,57562.46
19/3/21,58001.29
20/3/21,58051.01
21/3/21,57402.03
22/3/21,54230.21
23/3/21,54268.81
24/3/21,52294.65
25/3/21,51386.2
26/3/21,55314.11
27/3/21,55932.18
28/3/21,55821.59
29/3/21,57630.72
30/3/21,58800
31/3/21,58837.71
1/4/21,58768.84
2/4/21,59019.55
3/4/21,56731
4/4/21,58266.39
5/4/21,59200
6/4/21,58018.31
7/4/21,55962.11
8/4/21,58108.65
9/4/21,58126.14
10/4/21,60039.35
11/4/21,60133.37
12/4/21,59903.04
13/4/21,63660.94
14/4/21,63283.43
15/4/21,63346.93
16/4/21,61486.08
17/4/21,60199.33
18/4/21,56351.2
19/4/21,55797.39
20/4/21,56514.9
21/4/21,53919.48
22/4/21,51653.27
23/4/21,51231.69
24/4/21,50167.5
25/4/21,49272.06
26/4/21,53969.71
27/4/21,55120.81
28/4/21,54964.11
29/4/21,53562.87
30/4/21,57640.17
1/5/21,57868.94
2/5/21,56631.64
3/5/21,57213.29
4/5/21,53128.68
5/5/21,57518.01
6/5/21,56485.77
7/5/21,57373.88
8/5/21,59045.17
9/5/21,58410.34
10/5/21,55936.77
11/5/21,56719
12/5/21,49095.57
13/5/21,49635.45
14/5/21,49923.92
15/5/21,46984.74
16/5/21,46523.31
17/5/21,43768.74
18/5/21,42989.8
19/5/21,37236.61
20/5/21,40749.78
21/5/21,37425
22/5/21,37383.34
23/5/21,34927.4
24/5/21,38725.06
25/5/21,38370
26/5/21,39213.41
27/5/21,38368.17
28/5/21,35770
29/5/21,34621.64
30/5/21,35545.27
31/5/21,37153.71
1/6/21,36764.58
2/6/21,37501.36
3/6/21,39215.09
4/6/21,36895.48
5/6/21,35565
6/6/21,35873.42
7/6/21,33816.09
8/6/21,33432.26
9/6/21,37357.02
10/6/21,36717.51
11/6/21,37282.15
12/6/21,35609.66
13/6/21,39122.03
14/6/21,40496.92
15/6/21,40093.93
16/6/21,38394.4
17/6/21,38027.63
18/6/21,35777.39
19/6/21,35498.24
20/6/21,35565.82
21/6/21,31686.69
22/6/21,32508.26
23/6/21,33688.35
24/6/21,34695.34
25/6/21,31704.87
26/6/21,32265.95
27/6/21,34596.99
28/6/21,34541.8
29/6/21,35928.75
30/6/21,34995.83
1/7/21,33538.49
2/7/21,33832.49
3/7/21,34633.93
4/7/21,35126.9
5/7/21,33673.22
6/7/21,34193.9
7/7/21,33791
8/7/21,32878.23
9/7/21,33766.87
10/7/21,33547.19
11/7/21,34236.21
12/7/21,33096.86
13/7/21,32768.54
14/7/21,32817.18
15/7/21,31891.09
16/7/21,31408.78
17/7/21,31503.78
18/7/21,31753.02
19/7/21,30849.9
20/7/21,29788.61
21/7/21,32086.04
22/7/21,32327.95
23/7/21,33700
24/7/21,34275.43
25/7/21,35368.57
26/7/21,37269.12
27/7/21,39381.82
28/7/21,40031.56
29/7/21,40024.94
30/7/21,42188.95
31/7/21,41472.42
1/8/21,39816.76
2/8/21,39146.69
3/8/21,38207.27
4/8/21,39730
5/8/21,40893.75
6/8/21,42827.76
7/8/21,44488.87
8/8/21,43933.26
9/8/21,46208.5
10/8/21,45565.76
11/8/21,45482.95
12/8/21,44454.37
13/8/21,47765.41
14/8/21,47134.61
15/8/21,47090
16/8/21,45930.71
17/8/21,44718.51
18/8/21,44735.2
19/8/21,46736.74
20/8/21,49350.99
21/8/21,48896.95
22/8/21,49328.47
23/8/21,49464.66
24/8/21,47770.4
25/8/21,48985.05
26/8/21,46770.6
27/8/21,49082.04
28/8/21,48963.41
29/8/21,48770.78
30/8/21,46924.16
31/8/21,47065.73
1/9/21,48889.19
