FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CBBTCUSD,"Coinbase Bitcoin, U.S. Dollars, Daily, Not Seasonally Adjusted"
,
"Frequency: Daily, 7-Day",
observation_date,CBBTCUSD
16/5/17,1777.48
17/5/17,1813.23
18/5/17,1899.16
19/5/17,1976.23
20/5/17,2058.91
21/5/17,2057
22/5/17,2123.29
23/5/17,2272.75
24/5/17,2432.97
25/5/17,2355
26/5/17,2272.7
27/5/17,2099.99
28/5/17,2232.78
29/5/17,2279.48
30/5/17,2191.58
31/5/17,2303.29
1/6/17,2419.99
2/6/17,2478.99
3/6/17,2548.05
4/6/17,2521.36
5/6/17,2698
6/6/17,2871.29
7/6/17,2685.64
8/6/17,2799.73
9/6/17,2811.39
10/6/17,2931.15
11/6/17,2998.98
12/6/17,2655.71
13/6/17,2709.01
14/6/17,2432.21
15/6/17,2409.98
16/6/17,2480.43
17/6/17,2634.94
18/6/17,2515.25
19/6/17,2596.98
20/6/17,2725.08
21/6/17,2643.35
22/6/17,2679.99
23/6/17,2690.76
24/6/17,2574.84
25/6/17,2505.61
26/6/17,2407.91
27/6/17,2575.75
28/6/17,2553.12
29/6/17,2530
30/6/17,2455.19
1/7/17,2423.63
2/7/17,2516.66
3/7/17,2542.41
4/7/17,2602
5/7/17,2616.96
6/7/17,2604.84
7/7/17,2501.15
8/7/17,2561.11
9/7/17,2508.99
10/7/17,2331.05
11/7/17,2310.01
12/7/17,2383.42
13/7/17,2340
14/7/17,2217.24
15/7/17,1964.31
16/7/17,1911.78
17/7/17,2235.19
18/7/17,2308.15
19/7/17,2258.99
20/7/17,2873.48
21/7/17,2657.45
22/7/17,2825.27
23/7/17,2754.28
24/7/17,2762.26
25/7/17,2564
26/7/17,2525.99
27/7/17,2664.99
28/7/17,2786.07
29/7/17,2700.21
30/7/17,2723.99
31/7/17,2856.88
1/8/17,2732.59
2/8/17,2699.9
3/8/17,2787.02
4/8/17,2857.34
5/8/17,3243.49
6/8/17,3222.22
7/8/17,3398.23
8/8/17,3422.43
9/8/17,3342.8
10/8/17,3444.98
11/8/17,3656.15
12/8/17,3874
13/8/17,4060.47
14/8/17,4320.6
15/8/17,4159.93
16/8/17,4370.01
17/8/17,4280.01
18/8/17,4101.72
19/8/17,4157.41
20/8/17,4050.99
21/8/17,4002
22/8/17,4092
23/8/17,4143.49
24/8/17,4312.03
25/8/17,4360
26/8/17,4344.32
27/8/17,4340.11
28/8/17,4384.99
29/8/17,4599
30/8/17,4581.98
31/8/17,4743.94
1/9/17,4947.99
2/9/17,4649.99
3/9/17,4626.05
4/9/17,4498.25
5/9/17,4432.51
6/9/17,4616.18
7/9/17,4624.18
8/9/17,4350
9/9/17,4334.36
10/9/17,4251.36
11/9/17,4210.72
12/9/17,4164.52
13/9/17,3855.32
14/9/17,3250.4
15/9/17,3740.02
16/9/17,3726.51
17/9/17,3719.97
18/9/17,4100
19/9/17,3910.11
20/9/17,3872.06
21/9/17,3617.47
22/9/17,3619.01
23/9/17,3787.33
24/9/17,3669.01
25/9/17,3919.78
26/9/17,3885.09
27/9/17,4200
28/9/17,4189.42
29/9/17,4156.99
30/9/17,4339
1/10/17,4394.81
2/10/17,4392.71
3/10/17,4307.99
4/10/17,4214.84
5/10/17,4320.04
6/10/17,4362.99
7/10/17,4425
8/10/17,4603.49
9/10/17,4769.55
10/10/17,4750
11/10/17,4814.99
12/10/17,5440
13/10/17,5624.8
14/10/17,5819.13
15/10/17,5693.7
16/10/17,5754.9
17/10/17,5594
18/10/17,5574.44
19/10/17,5704.01
20/10/17,5989.1
21/10/17,6024.86
22/10/17,6005.05
23/10/17,5905.99
24/10/17,5525.43
25/10/17,5739.97
26/10/17,5891.61
27/10/17,5780
28/10/17,5752.01
29/10/17,6140.01
30/10/17,6124.16
31/10/17,6445.01
1/11/17,6783.69
2/11/17,7039.98
3/11/17,7170.01
4/11/17,7412.55
5/11/17,7392
6/11/17,6969.76
7/11/17,7126.63
8/11/17,7467.96
9/11/17,7156
10/11/17,6577.62
11/11/17,6346.7
12/11/17,5886.35
